ID,EAN,Naziv,Doza_snaga,Doza_jedinica_mjere,Oblik
394112,8606100000000,Mirapexin®,0.25,8,54
394124,8606100000000,Mirapexin®,1,8,54
395653,5099150000000,Brufen® Vivo,400,8,2
395655,5099150000000,Brufen® Vivo,400,8,2
395876,5099150000000,Tadalafil Mylan,10,8,2
395877,5099150000000,Tadalafil Mylan,10,8,2
395883,5099150000000,Tadalafil Mylan,20,8,2
395884,5099150000000,Tadalafil Mylan,20,8,2
396031,5099150000000,Ezinelle®,1.5,8,54
396032,5099150000000,Ezinelle®,1.5,8,54
396300,4034540000000,Aricept®,5,8,2
396304,4034540000000,Aricept®,10,8,2
396486,8600100000000,Caffebol® Moment,200,8,63
396995,8600060000000,Ciprocinal®,500,8,2
397207,8600100000000,Tabex®,1.5,8,2
397215,8606100000000,Topamax®,25,8,2
397217,8606100000000,Topamax®,50,8,2
397219,8606100000000,Topamax®,100,8,2
397244,8606100000000,Topamax®,25,8,2
397245,8606100000000,Topamax®,50,8,2
397246,8606100000000,Topamax®,100,8,2
397314,3856010000000,Escontral direkt,5,8,23
397705,8606110000000,Sildenafil PULMO,20,8,2
397719,8606010000000,Sildenafil Sandoz®,20,8,2
397751,8600060000000,Isosorb retard®,20,8,15
397765,8606100000000,Spiriva®,18,7,34
398315,8606110000000,Euthyrox®,25,7,54
398318,8606110000000,Euthyrox®,50,7,54
398320,8606110000000,Euthyrox®,75,7,54
398322,8606110000000,Euthyrox®,100,7,54
398324,8606110000000,Euthyrox®,125,7,54
398327,8606110000000,Euthyrox®,150,7,54
398670,8606100000000,Epivir®,150,8,2
398672,8606100000000,Epivir®,150,8,2
398710,8606110000000,Fluomizin®,10,8,60
398911,8606100000000,Plendil®,2.5,8,56
398913,8606100000000,Plendil®,5,8,56
398962,8606110000000,Verapamil Alkaloid®,40,8,22
398965,8606110000000,Verapamil Alkaloid®,80,8,22
398974,5310000000000,Verapamil Alkaloid®,40,8,22
398976,5310000000000,Verapamil Alkaloid®,80,8,22
399302,8608810000000,Gino-daktanol®,200,8,62
399385,3870010000000,PRAMES®,10,8,2
399533,8606100000000,Myozyme®,50,8,36
399562,8608810000000,Amracin®,500,8,17
399563,4019340000000,Aurorix®,300,8,2
399565,4019340000000,Aurorix®,300,8,2
399626,8600100000000,Cefaleksin HF,250,8,17
399628,8600100000000,Cefaleksin HF,500,8,17
399727,4034540000000,Sutent®,12.5,8,17
399729,4034540000000,Sutent®,25,8,17
399732,4034540000000,Sutent®,50,8,17
