ID leka,Назив лека:,Генерички назив:,Облик и паковање:,Kolicina,Oblik,Doza,Врста решења:,АТЦ шифра:,JKL:,EAN:,Врста лека:,Произвођач:,- адреса:,- земља:,Носилац дозволе:,Режим издавања:,Број решења:,Датум решења:,Датум истицања решења:,Сажетак карактеристика о леку:,Упутство за лек:,Текст за спољње и унутрашње паковање:,Одобрене измене:
382160,Rebif®,interferon beta-1a,"rastvor za injekciju u ulošku; 22mcg/0.5mL; uložak, 4x1.5mL",6 mL,rastvor za injekciju u ulošku,22mcg/0.5mL,ОБНОВА,L03AB07,328390,8.60611E+12,Хумани лекови,MERCK SERONO S.P.A.,"Omladinskih brigada 90 v,  Beograd - Novi Beograd",Italija,MERCK D.O.O. BEOGRAD,"СЗР - Лек се може употребљавати у стационарној здравственој установи, изузетно, уз рецепт",515-01-00501-17-006,07.08.2019.,07.08.2069.,pdf/382160/sazetak_karakteristika_lijeka.pdf,pdf/382160/upustvo_za_upotrebu.pdf,pdf/382160/tekst_za_spoljno_pakovanje.pdf,У припреми
382161,Rebif®,interferon beta-1a,"rastvor za injekciju u ulošku; 22mcg/0.5mL; uložak, 4x1.5mL",6 mL,rastvor za injekciju u ulošku,22mcg/0.5mL,ОБНОВА,L03AB07,328390,8.60611E+12,Хумани лекови,MERCK SERONO SA,"Omladinskih brigada 90 v,  Beograd - Novi Beograd",Švajcarska,MERCK D.O.O. BEOGRAD,"СЗР - Лек се може употребљавати у стационарној здравственој установи, изузетно, уз рецепт",515-01-00501-17-006,07.08.2019.,07.08.2069.,pdf/382161/sazetak_karakteristika_lijeka.pdf,pdf/382161/upustvo_za_upotrebu.pdf,pdf/382161/tekst_za_spoljno_pakovanje.pdf,У припреми
382175,Rebif®,interferon beta-1a,"rastvor za injekciju u ulošku; 44mcg/0.5mL; uložak, 4x1.5mL",6 mL,rastvor za injekciju u ulošku,44mcg/0.5mL,ОБНОВА,L03AB07,328389,8.60611E+12,Хумани лекови,MERCK SERONO S.P.A.,"Omladinskih brigada 90 v,  Beograd - Novi Beograd",Italija,MERCK D.O.O. BEOGRAD,"СЗР - Лек се може употребљавати у стационарној здравственој установи, изузетно, уз рецепт",515-01-00517-17-006,07.08.2019.,07.08.2069.,pdf/382175/sazetak_karakteristika_lijeka.pdf,pdf/382175/upustvo_za_upotrebu.pdf,pdf/382175/tekst_za_spoljno_pakovanje.pdf,У припреми
382176,Rebif®,interferon beta-1a,"rastvor za injekciju u ulošku; 44mcg/0.5mL; uložak, 4x1.5mL",6 mL,rastvor za injekciju u ulošku,44mcg/0.5mL,ОБНОВА,L03AB07,328389,8.60611E+12,Хумани лекови,MERCK SERONO SA,"Omladinskih brigada 90 v,  Beograd - Novi Beograd",Švajcarska,MERCK D.O.O. BEOGRAD,"СЗР - Лек се може употребљавати у стационарној здравственој установи, изузетно, уз рецепт",515-01-00517-17-006,07.08.2019.,07.08.2069.,pdf/382176/sazetak_karakteristika_lijeka.pdf,pdf/382176/upustvo_za_upotrebu.pdf,pdf/382176/tekst_za_spoljno_pakovanje.pdf,У припреми
390776,Crinone®,progesteron,"vaginalni gel; 8%; aplikator, 15x1.125g",16.875 g,vaginalni gel,0.08,ОБНОВА,G03DA04,4137040,8.60611E+12,Хумани лекови,CENTRAL PHARMA (CONTRACT PACKING) LIMITED,"Omladinskih brigada 90 v,  Beograd - Novi Beograd",Velika Britanija,MERCK D.O.O. BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-02136-17-004,30.07.2019.,30.07.2069.,pdf/390776/sazetak_karakteristika_lijeka.pdf,pdf/390776/upustvo_za_upotrebu.pdf,pdf/390776/tekst_za_spoljno_pakovanje.pdf,У припреми
392297,NEURO-VIT®,"tiamin, piridoksin, cijanokobalamin","film tableta; 100mg+200mg+0.2mg; blister, 2x10kom",20 kom,film tableta,100mg+200mg+0.2mg,РЕГИСТРАЦИЈА,A11DB..,1052203,8.605E+12,Хумани лекови,REPLEK FARM LTD.,"Bulevar oslobođenja 97,  Beograd - Voždovac",Republika Severna Makedonija,SLAVIAMED DOO BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-02643-16-001,27.11.2018.,27.11.2023.,pdf/392297/sazetak_karakteristika_lijeka.pdf,pdf/392297/upustvo_za_upotrebu.pdf,pdf/392297/tekst_za_spoljno_pakovanje.pdf,У припреми
394097,Kybernin® P 500,antitrombin III,"prašak i rastvarač za rastvor za injekciju/infuziju; 500i.j./10mL; bočica sa praškom i bočica sa rastvaračem, 1x10mL",10 mL,prašak i rastvarač za rastvor za injekciju/infuziju,500i.j./10mL,ОБНОВА,B01AB02,62170,8.60601E+12,Биолошки лекови,CSL BEHRING GMBH,"Batajnički drum 5 A,  Beograd",Nemačka,"PHARMASWISS D.O.O., BEOGRAD",СЗ - Лек се може употребљавати само у стационарној здравственој установи,515-01-04290-17-001,30.10.2018.,30.10.2023.,pdf/394097/sazetak_karakteristika_lijeka.pdf,pdf/394097/upustvo_za_upotrebu.pdf,pdf/394097/tekst_za_spoljno_pakovanje.pdf,У припреми
394112,Mirapexin®,pramipeksol,"tableta; 0.25mg; blister, 3x10kom",30 kom,tableta,0.25mg,ОБНОВА,N04BC05,1085290,8.6061E+12,Хумани лекови,BOEHRINGER INGELHEIM PHARMA GMBH & CO.KG,"Milentija Popovića 5a,  Beograd",Nemačka,BOEHRINGER INGELHEIM SERBIA D.O.O. BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04495-17-001,01.10.2018.,01.10.2023.,pdf/394112/sazetak_karakteristika_lijeka.pdf,pdf/394112/upustvo_za_upotrebu.pdf,pdf/394112/tekst_za_spoljno_pakovanje.pdf,У припреми
394124,Mirapexin®,pramipeksol,"tableta; 1mg; blister, 3x10kom",30 kom,tableta,1mg,ОБНОВА,N04BC05,1085291,8.6061E+12,Хумани лекови,BOEHRINGER INGELHEIM PHARMA GMBH & CO.KG,"Milentija Popovića 5a,  Beograd",Nemačka,BOEHRINGER INGELHEIM SERBIA D.O.O. BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-04496-17-001,01.10.2018.,01.10.2023.,pdf/394124/sazetak_karakteristika_lijeka.pdf,pdf/394124/upustvo_za_upotrebu.pdf,pdf/394124/tekst_za_spoljno_pakovanje.pdf,У припреми
394756,Isoprinosine®,inozin,"sirup; 50mg/mL; boca staklena, 1x150mL",150 mL,sirup,50mg/mL,ОБНОВА,J05AX05,3328651,7.64012E+12,Хумани лекови,"LUSOMEDICAMENTA SOCIEDADE TECNICA FARMACEUTICA, S.A.","Borisavljevićeva 78,  Beograd",Portugalija,EWOPHARMA D.O.O. BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-02149-17-001,11.10.2018.,11.10.2023.,pdf/394756/sazetak_karakteristika_lijeka.pdf,pdf/394756/upustvo_za_upotrebu.pdf,pdf/394756/tekst_za_spoljno_pakovanje.pdf,У припреми
394984,Dexamethasone Sopharma,deksametazon,"rastvor za injekciju; 4mg/mL; ampula, 10x1mL",10 mL,rastvor za injekciju,4mg/mL,РЕГИСТРАЦИЈА,H02AB02,47142,8.60611E+12,Хумани лекови,SOPHARMA AD,"Vladimira Popovića 6,  Beograd - Novi Beograd",Bugarska,PHARMACHIM D.O.O. BEOGRAD - NOVI BEOGRAD,З - Лек се може употребљавати у здравственој установи,515-01-04862-16-001,13.11.2018.,13.11.2023.,pdf/394984/sazetak_karakteristika_lijeka.pdf,pdf/394984/upustvo_za_upotrebu.pdf,pdf/394984/tekst_za_spoljno_pakovanje.pdf,У припреми
395261,Nurofen® za decu sa ukusom jagode,ibuprofen,"oralna suspenzija; 100mg/5mL; boca plastična, 1x100mL",100 mL,oralna suspenzija,100mg/5mL,РЕГИСТРАЦИЈА,M01AE01,3162520,5.94903E+12,Хумани лекови,RECKITT BENCKISER HEALTHCARE (UK) LIMITED,"Maršala Tita 226B,  Dobanovci, Surčin",Velika Britanija,NELT CO. DOO BEOGRAD,Р - Лек се може издавати само уз лекарски рецепт,515-01-05079-16-001,19.12.2018.,19.12.2023.,pdf/395261/sazetak_karakteristika_lijeka.pdf,pdf/395261/upustvo_za_upotrebu.pdf,pdf/395261/tekst_za_spoljno_pakovanje.pdf,У припреми
395631,Blitzima®,rituksimab,"koncentrat za rastvor za infuziju; 500mg/50mL; bočica staklena, 1x50mL",50 mL,koncentrat za rastvor za infuziju,500mg/50mL,РЕГИСТРАЦИЈА,L01XC02,14144,8.80624E+12,Хумани лекови,BIOTEC SERVICES INTERNATIONAL LIMITED,"Viline vode BB,  Beograd - Palilula",Velika Britanija,OKTAL PHARMA DOO BEOGRAD,СЗ - Лек се може употребљавати само у стационарној здравственој установи,515-01-03947-17-002,29.10.2018.,29.10.2023.,pdf/395631/sazetak_karakteristika_lijeka.pdf,pdf/395631/upustvo_za_upotrebu.pdf,pdf/395631/tekst_za_spoljno_pakovanje.pdf,У припреми
395653,Brufen® Vivo,ibuprofen,"film tableta; 400mg; blister, 1x12kom",12 kom,film tableta,400mg,РЕГИСТРАЦИЈА,M01AE01,1162586,5.09915E+12,Хумани лекови,MCDERMOTT LABORATORIES LIMITED T/A GERARD LABORATORIES T/A MYLAN DUBLIN,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Irska,VIATRIS HEALTHCARE D.O.O.,БР - Лек се може издавати и без рецепта,515-01-05078-16-001,28.09.2018.,28.09.2023.,pdf/395653/sazetak_karakteristika_lijeka.pdf,pdf/395653/upustvo_za_upotrebu.pdf,pdf/395653/tekst_za_spoljno_pakovanje.pdf,У припреми
395655,Brufen® Vivo,ibuprofen,"film tableta; 400mg; blister, 1x12kom",12 kom,film tableta,400mg,РЕГИСТРАЦИЈА,M01AE01,1162586,5.09915E+12,Хумани лекови,MYLAN HUNGARY KFT.,"Bulevar Mihajla Pupina 115a,  Beograd - Novi Beograd",Mađarska,VIATRIS HEALTHCARE D.O.O.,БР - Лек се може издавати и без рецепта,515-01-05078-16-001,28.09.2018.,28.09.2023.,pdf/395655/sazetak_karakteristika_lijeka.pdf,pdf/395655/upustvo_za_upotrebu.pdf,pdf/395655/tekst_za_spoljno_pakovanje.pdf,У припреми
