ID,Doza_snaga,Doza_jedinica_mjere
394112,0.25,mg
394124,1,mg
395653,400,mg
395655,400,mg
395876,10,mg
395877,10,mg
395883,20,mg
395884,20,mg
396031,1.5,mg
396032,1.5,mg
396300,5,mg
396304,10,mg
396486,200,mg
396995,500,mg
397207,1.5,mg
397215,25,mg
397217,50,mg
397219,100,mg
397244,25,mg
397245,50,mg
397246,100,mg
397314,5,mg
397705,20,mg
397719,20,mg
397751,20,mg
397765,18,mcg
398315,25,mcg
398318,50,mcg
398320,75,mcg
398322,100,mcg
398324,125,mcg
398327,150,mcg
398670,150,mg
398672,150,mg
398710,10,mg
398911,2.5,mg
398913,5,mg
398962,40,mg
398965,80,mg
398974,40,mg
398976,80,mg
399302,200,mg
399385,10,mg
399533,50,mg
399562,500,mg
399563,300,mg
399565,300,mg
399626,250,mg
399628,500,mg
399727,12.5,mg
399729,25,mg
399732,50,mg
399748,500,mg
399749,500,mg
399851,75,mg
399961,400,mg
399986,5,mg
399990,10,mg
400007,300,mg
400098,10,mg
400152,5,mg
400309,150,mg
400331,2,mg
400354,20,mg
400369,5,mg
400371,20,mg
400373,100,mg
400375,250,mg
400574,100,mg
400586,200,mg
400615,250,mg
400622,2,mg
400684,15,mg
400793,60,mg
400794,60,mg
400799,90,mg
400800,90,mg
400803,120,mg
400804,120,mg
400929,1.5,mg
400968,500,mg
401049,200,mg
401589,100,mg
401619,100,mg
401620,100,mg
401622,400,mg
401623,400,mg
401678,2.5,mg
401735,1.5,mg
401740,3,mg
401746,4.5,mg
401749,6,mg
402075,1,g
402128,1.25,mg
402131,2.5,mg
402133,5,mg
402134,5,mg
402135,5,mg
402137,10,mg
402138,10,mg
402139,10,mg
402564,500,mg
402575,500,mg
402613,250,mg
402784,5,mg
402786,20,mg
402788,10,mg
402827,30,mg
402829,500,mg
402837,500,mg
402844,10,mg
402845,10,mg
402852,20,mg
402853,20,mg
402859,200,mg
402861,200,mg
402874,50,mg
402938,1000,mg
402988,0.4,mg
403013,120,mg
403111,80,mg
403129,400,mg
403163,250,mg
403217,2,mg
403219,4,mg
403220,8,mg
403236,10,mg
403242,150,mg
403245,150,mg
403247,300,mg
403249,75,mg
403254,500,mg
403333,10,mg
403405,40,mg
403407,80,mg
403852,10,mg
403860,15,mg
403862,20,mg
404088,5,mg
404090,10,mg
404096,15,mg
404098,20,mg
404135,2.5,mg
404136,2.5,mg
404138,5,mg
404176,200,mg
404210,160,mg
404247,5,mg
404248,5,mg
404427,250,mg
404430,500,mg
404467,75,mg
404504,10,mg
404506,50,mg
404508,500,mg
404535,5,mg
404535,5,mg
404537,5,mg
404537,5,mg
404538,10,mg
404538,10,mg
404540,10,mg
404540,10,mg
404548,20,mg
404549,20,mg
404564,1500,mg
404594,5,mg
404602,300,mg
404607,200,mg
404625,0.4,mg
404627,0.4,mg
404652,40,mg
404656,40,mg
404717,50,mg
404719,100,mg
404760,47.5,mg
404762,95,mg
404804,1.5,mg
404810,3,mg
404817,4.5,mg
404829,6,mg
404909,20,mg
404923,267,mg
404925,801,mg
404985,500,mg
404986,500,mg
404987,500,mg
404988,500,mg
405007,100,mg
405028,1,mg
405030,2,mg
405031,3,mg
405032,4,mg
405043,1,g
405055,50,mg
405057,100,mg
405084,2,mg
405086,4,mg
405101,1,g
405106,5,mg
405107,5,mg
405112,5,mg
405114,145,mg
405135,80,mg
405137,160,mg
405246,10,mg
405248,20,mg
405249,40,mg
405283,400,mg
405290,4,mg
405326,25,mg
405330,25,mg
